formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms,jumlah_submit_t2,jumlah_ms_t2,is_periode_daftar
61fcfee1-0b49-43d3-b274-cf5be649af6f,Arsip Nasional Republik Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,ARSIP NASIONAL REPUBLIK INDONESIA | DEPUTI BIDANG KONSERVASI ARSIP | DIREKTORAT PRESERVASI,1,1,7974000,8581000,36,0,0,0
cdcc2e1f-8525-44cc-b9bf-d68d1f49f444,Badan Informasi Geospasial,CPNS,UMUM,PENGEMBANG TEKNOLOGI PEMBELAJARAN AHLI PERTAMA,Badan Informasi Geospasial | PUSAT PENGEMBANGAN KOMPETENSI INFORMASI GEOSPASIAL,1,1,5500000,7800000,18,0,0,0
8a01869291548667019154ed11140ecf,Badan Intelijen Negara,CPNS,UMUM,AGEN INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN PENGAMANAN APARATUR,4,0,3500000,7500000,20,0,0,0
61aa64ef-3e78-4f8f-a5e2-17f1945b2244,Badan Intelijen Negara,CPNS,UMUM,AGEN INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN PENGAMANAN APARATUR | DIREKTORAT NON APARATUR NEGARA | SUB DIREKTORAT PENGAMANAN TOKOH POLITIK,1,0,3500000,7500000,11,0,0,0
724e1be6-d6b9-43f3-9139-07143504dae2,Badan Intelijen Negara,CPNS,UMUM,AGEN INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN PENGAMANAN APARATUR | DIREKTORAT NON APARATUR NEGARA | SUB DIREKTORAT PENGAMANAN TOKOH ORGANISASI MASYARAKAT DAN LSM,1,0,3500000,7500000,12,0,0,0
94751c09-a2e7-4696-85f2-a09c4dcbf9da,Badan Intelijen Negara,CPNS,UMUM,AGEN INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | BADAN INTELIJEN DAERAH | BAGAIAN OPERASIONAL,48,0,3500000,7500000,154,0,0,0
efd95c02-df2e-4842-83ba-3c7843cf8948,Badan Intelijen Negara,CPNS,UMUM,AGEN INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | DEPUTI BIDANG INTELIJEN PENGAMANAN APARATUR | DIREKTORAT NON APARATUR NEGARA | SUB DIREKTORAT PENGAMANAN PEJABAT PERGURUAN TINGGI,2,0,3500000,7500000,11,0,0,0
38961e57-0fb3-4fc3-9f6d-179e5d9fd545,Badan Intelijen Negara,CPNS,UMUM,ANALIS INTELIJEN AHLI PERTAMA,"BADAN INTELIJEN NEGARA | DEPUTI BIDANG ANALISIS DAN PRODUKSI INTELIJEN | DIREKTORAT ANALISIS IDEOLOGI, POLITIK DAN SOSIAL BUDAYA | SUB DIREKTORAT TEKNOLOGI DAN SIBER",1,0,3500000,7500000,6,0,0,0
6f8f4754-fbc6-48fc-a19e-d08d0a16bb06,Badan Intelijen Negara,CPNS,UMUM,ANALIS INTELIJEN AHLI PERTAMA,BADAN INTELIJEN NEGARA | BADAN INTELIJEN DAERAH | BAGAIAN OPERASIONAL,12,0,3500000,7500000,49,0,0,0
7c1250f9-35c9-41da-bbd1-453ddef106b4,Badan Intelijen Negara,CPNS,UMUM,ANALIS INTELIJEN AHLI PERTAMA,"BADAN INTELIJEN NEGARA | DEPUTI BIDANG ANALISIS DAN PRODUKSI INTELIJEN | DIREKTORAT ANALISIS LUAR NEGERI | SUB DIREKTORAT ASIA TENGGARA, ASIA TENGAH DAN ASIA SELATAN",1,0,3500000,7500000,3,0,0,0
39265dd0-3506-491c-8051-36a0c1ff46eb,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | BADAN INTELIJEN DAERAH | BAGAIAN OPERASIONAL,12,0,3500000,7500000,10,0,0,0
461f7e4a-e6af-4ea3-8328-b1e282e36755,Badan Intelijen Negara,CPNS,UMUM,PENELAAH TEKNIS INTELIJEN,BADAN INTELIJEN NEGARA | SEKRETARIAT UTAMA | PUSAT PENELITIAN DAN PENGEMBANGAN | UPT MUSEUM INTELIJEN | SEKSI PELAYANAN DAN PROTOKOL,1,0,3500000,7500000,3,0,0,0
2b6e5624-7345-4b36-965d-40b3e270b578,Badan Keamanan Laut RI,CPNS,UMUM,PRANATA HUBUNGAN MASYARAKAT AHLI PERTAMA,"BADAN KEAMANAN LAUT | DEPUTI BIDANG INFORMASI, HUKUM DAN KERJASAMA | STASIUN PEMANTAUAN KEAMANAN DAN KESELAMATAN LAUT NATUNA",1,0,6600000,9000000,22,0,0,0
dac2cf4f-d324-4085-a1b3-389e15ac6928,Badan Kepegawaian Negara,CPNS,UMUM,PENATA KEPROTOKOLAN,"Badan Kepegawaian Negara | Sekretariat Utama | Biro Hubungan Masyarakat, Hukum, dan Kerja Sama | Bagian Tata Usaha Pimpinan dan Protokol | Subbagian Protokol",2,0,6886650,7700650,18,0,0,0
8a01869291548667019154aeb5d91f5a,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Tengah,2,1,2785700,9024448,550,0,0,0
8a01869291548667019154b5e65c2775,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Timur,1,1,2785700,9024448,346,0,0,0
8a01869291548667019154bcc9fa2ff8,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Barat,3,1,2785700,9024448,219,0,0,0
